cohort_date,cohort_size,d1_retention,d7_retention,d14_retention,d30_retention,average_d1_retention,average_d7_retention,average_d14_retention,average_d30_retention,latest_eligible_cohort_date,latest_d1_retention,latest_d7_retention,latest_d14_retention,latest_d30_retention,d7_retention_30_cohort_avg,d7_retention_change_vs_30_cohorts_ago
2006-01-30,117,0.24786324786324787,0.10256410256410256,0.07692307692307693,0.09401709401709402,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.10256410256410256,
2006-01-31,110,0.2636363636363636,0.10909090909090909,0.08181818181818182,0.09090909090909091,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.10582750582750583,
2006-02-01,128,0.3828125,0.1640625,0.109375,0.0546875,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.12523917055167055,
2006-02-02,101,0.38613861386138615,0.06930693069306931,0.06930693069306931,0.0891089108910891,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.11125611058702024,
2006-02-03,107,0.3925233644859813,0.14953271028037382,0.14953271028037382,0.09345794392523364,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.11891143052569095,
2006-02-04,154,0.24025974025974026,0.1038961038961039,0.09740259740259741,0.05194805194805195,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.11640887608742645,
2006-02-05,117,0.3418803418803419,0.2222222222222222,0.17094017094017094,0.1111111111111111,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.13152506839239728,
2006-02-06,109,0.3119266055045872,0.13761467889908258,0.10091743119266056,0.07339449541284404,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.13228626970573293,
2006-02-07,111,0.2972972972972973,0.12612612612612611,0.12612612612612611,0.06306306306306306,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.13160180930799883,
2006-02-08,83,0.25301204819277107,0.08433734939759036,0.08433734939759036,0.04819277108433735,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.12687536331695798,
2006-02-09,51,0.39215686274509803,0.21568627450980393,0.11764705882352941,0.11764705882352941,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.1349490825163076,
2006-02-10,109,0.26605504587155965,0.07339449541284404,0.07339449541284404,0.05504587155963303,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.12981953359101897,
2006-02-11,118,0.2966101694915254,0.2033898305084746,0.1271186440677966,0.1271186440677966,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.13547878720005402,
2006-02-12,96,0.23958333333333334,0.125,0.125,0.08333333333333333,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.13473030240005016,
2006-02-13,100,0.33,0.14,0.13,0.09,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.13508161557338016,
2006-02-14,99,0.3434343434343434,0.18181818181818182,0.18181818181818182,0.08080808080808081,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.13800265096368025,
2006-02-15,84,0.2261904761904762,0.17857142857142858,0.08333333333333333,0.07142857142857142,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.14038904964648896,
2006-02-16,77,0.35064935064935066,0.15584415584415584,0.09090909090909091,0.11688311688311688,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.14124766665747046,
2006-02-17,90,0.3333333333333333,0.17777777777777778,0.08888888888888889,0.07777777777777778,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.14317030408485504,
2006-02-18,106,0.36792452830188677,0.14150943396226415,0.0660377358490566,0.02830188679245283,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.1430872605787255,
2006-02-19,129,0.3643410852713178,0.15503875968992248,0.11627906976744186,0.03875968992248062,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.14365637958402058,
2006-02-20,87,0.3218390804597701,0.13793103448275862,0.09195402298850575,0.05747126436781609,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.1433961366248723,
2006-02-21,83,0.3614457831325301,0.2289156626506024,0.07228915662650602,0.08433734939759036,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.14711437688686058,
2006-02-22,106,0.2169811320754717,0.12264150943396226,0.14150943396226415,0.08490566037735849,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.14609467407632315,
2006-02-23,68,0.27941176470588236,0.07352941176470588,0.04411764705882353,0.029411764705882353,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.14319206358385847,
2006-02-24,88,0.3181818181818182,0.1590909090909091,0.06818181818181818,0.03409090909090909,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.14380355764182196,
2006-02-25,123,0.3089430894308943,0.16260162601626016,0.08130081300813008,0.10569105691056911,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.14449978239643077,
2006-02-26,118,0.2457627118644068,0.11864406779661017,0.09322033898305085,0.1016949152542373,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.14357636401786575,
2006-02-27,83,0.3132530120481928,0.12048192771084337,0.0963855421686747,0.04819277108433735,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.1427800041452098,
2006-02-28,127,0.33070866141732286,0.16535433070866143,0.09448818897637795,0.11811023622047244,0.2862390369390962,0.12476374155167347,0.09115603114960592,0.06410332019221876,2009-01-09,0.0975609756097561,,,,0.14353248169732483,
