forecast_created_at,forecast_date,champion_model,champion_mae,champion_rmse,champion_mape,champion_smape,champion_bias,final_forecast_start_date,final_forecast_end_date,average_forecast_dau_30d,forecast_value,lower_bound_simple,upper_bound_simple
2026-06-06 13:38:57.509252,2009-01-11,moving_avg_30d,267.2869830996046,459.0879983355586,0.14434727322673577,0.17360673004573904,-16.824056094929883,2009-01-11,2009-02-09,1855.433333333334,1855.4333333333334,1350.603419113931,2360.2632475527357
2026-06-06 13:38:57.509252,2009-01-12,moving_avg_30d,267.2869830996046,459.0879983355586,0.14434727322673577,0.17360673004573904,-16.824056094929883,2009-01-11,2009-02-09,1855.433333333334,1855.4333333333334,1350.603419113931,2360.2632475527357
2026-06-06 13:38:57.509252,2009-01-13,moving_avg_30d,267.2869830996046,459.0879983355586,0.14434727322673577,0.17360673004573904,-16.824056094929883,2009-01-11,2009-02-09,1855.433333333334,1855.4333333333334,1350.603419113931,2360.2632475527357
2026-06-06 13:38:57.509252,2009-01-14,moving_avg_30d,267.2869830996046,459.0879983355586,0.14434727322673577,0.17360673004573904,-16.824056094929883,2009-01-11,2009-02-09,1855.433333333334,1855.4333333333334,1350.603419113931,2360.2632475527357
2026-06-06 13:38:57.509252,2009-01-15,moving_avg_30d,267.2869830996046,459.0879983355586,0.14434727322673577,0.17360673004573904,-16.824056094929883,2009-01-11,2009-02-09,1855.433333333334,1855.4333333333334,1350.603419113931,2360.2632475527357
2026-06-06 13:38:57.509252,2009-01-16,moving_avg_30d,267.2869830996046,459.0879983355586,0.14434727322673577,0.17360673004573904,-16.824056094929883,2009-01-11,2009-02-09,1855.433333333334,1855.4333333333334,1350.603419113931,2360.2632475527357
2026-06-06 13:38:57.509252,2009-01-17,moving_avg_30d,267.2869830996046,459.0879983355586,0.14434727322673577,0.17360673004573904,-16.824056094929883,2009-01-11,2009-02-09,1855.433333333334,1855.4333333333334,1350.603419113931,2360.2632475527357
2026-06-06 13:38:57.509252,2009-01-18,moving_avg_30d,267.2869830996046,459.0879983355586,0.14434727322673577,0.17360673004573904,-16.824056094929883,2009-01-11,2009-02-09,1855.433333333334,1855.4333333333334,1350.603419113931,2360.2632475527357
2026-06-06 13:38:57.509252,2009-01-19,moving_avg_30d,267.2869830996046,459.0879983355586,0.14434727322673577,0.17360673004573904,-16.824056094929883,2009-01-11,2009-02-09,1855.433333333334,1855.4333333333334,1350.603419113931,2360.2632475527357
2026-06-06 13:38:57.509252,2009-01-20,moving_avg_30d,267.2869830996046,459.0879983355586,0.14434727322673577,0.17360673004573904,-16.824056094929883,2009-01-11,2009-02-09,1855.433333333334,1855.4333333333334,1350.603419113931,2360.2632475527357
2026-06-06 13:38:57.509252,2009-01-21,moving_avg_30d,267.2869830996046,459.0879983355586,0.14434727322673577,0.17360673004573904,-16.824056094929883,2009-01-11,2009-02-09,1855.433333333334,1855.4333333333334,1350.603419113931,2360.2632475527357
2026-06-06 13:38:57.509252,2009-01-22,moving_avg_30d,267.2869830996046,459.0879983355586,0.14434727322673577,0.17360673004573904,-16.824056094929883,2009-01-11,2009-02-09,1855.433333333334,1855.4333333333334,1350.603419113931,2360.2632475527357
2026-06-06 13:38:57.509252,2009-01-23,moving_avg_30d,267.2869830996046,459.0879983355586,0.14434727322673577,0.17360673004573904,-16.824056094929883,2009-01-11,2009-02-09,1855.433333333334,1855.4333333333334,1350.603419113931,2360.2632475527357
2026-06-06 13:38:57.509252,2009-01-24,moving_avg_30d,267.2869830996046,459.0879983355586,0.14434727322673577,0.17360673004573904,-16.824056094929883,2009-01-11,2009-02-09,1855.433333333334,1855.4333333333334,1350.603419113931,2360.2632475527357
2026-06-06 13:38:57.509252,2009-01-25,moving_avg_30d,267.2869830996046,459.0879983355586,0.14434727322673577,0.17360673004573904,-16.824056094929883,2009-01-11,2009-02-09,1855.433333333334,1855.4333333333334,1350.603419113931,2360.2632475527357
2026-06-06 13:38:57.509252,2009-01-26,moving_avg_30d,267.2869830996046,459.0879983355586,0.14434727322673577,0.17360673004573904,-16.824056094929883,2009-01-11,2009-02-09,1855.433333333334,1855.4333333333334,1350.603419113931,2360.2632475527357
2026-06-06 13:38:57.509252,2009-01-27,moving_avg_30d,267.2869830996046,459.0879983355586,0.14434727322673577,0.17360673004573904,-16.824056094929883,2009-01-11,2009-02-09,1855.433333333334,1855.4333333333334,1350.603419113931,2360.2632475527357
