cohort_date,cohort_size,retained_d1,retained_d7,retained_d14,retained_d30,d1_retention,d7_retention,d14_retention,d30_retention,avg_level_gain_7d,avg_active_days_7d,avg_observations_7d
2006-01-30,117,29,12,9,11,0.24786324786324787,0.10256410256410256,0.07692307692307693,0.09401709401709402,3.247863247863248,2.1538461538461537,34.743589743589745
2006-01-31,110,29,12,9,10,0.2636363636363636,0.10909090909090909,0.08181818181818182,0.09090909090909091,4.363636363636363,2.2363636363636363,35.96363636363636
2006-02-01,128,49,21,14,7,0.3828125,0.1640625,0.109375,0.0546875,4.828125,2.390625,35.53125
2006-02-02,101,39,7,7,9,0.38613861386138615,0.06930693069306931,0.06930693069306931,0.0891089108910891,4.643564356435643,2.366336633663366,41.87128712871287
2006-02-03,107,42,16,16,10,0.3925233644859813,0.14953271028037382,0.14953271028037382,0.09345794392523364,4.5327102803738315,2.4485981308411215,34.401869158878505
2006-02-04,154,37,16,15,8,0.24025974025974026,0.1038961038961039,0.09740259740259741,0.05194805194805195,3.2532467532467533,1.8376623376623376,22.344155844155843
2006-02-05,117,40,26,20,13,0.3418803418803419,0.2222222222222222,0.17094017094017094,0.1111111111111111,4.854700854700854,2.41025641025641,47.52136752136752
2006-02-06,109,34,15,11,8,0.3119266055045872,0.13761467889908258,0.10091743119266056,0.07339449541284404,4.4495412844036695,2.2110091743119265,41.88073394495413
2006-02-07,111,33,14,14,7,0.2972972972972973,0.12612612612612611,0.12612612612612611,0.06306306306306306,3.7927927927927927,2.171171171171171,33.810810810810814
2006-02-08,83,21,7,7,4,0.25301204819277107,0.08433734939759036,0.08433734939759036,0.04819277108433735,3.5301204819277108,1.9036144578313252,26.06024096385542
2006-02-09,51,20,11,6,6,0.39215686274509803,0.21568627450980393,0.11764705882352941,0.11764705882352941,4.745098039215686,2.588235294117647,39.68627450980392
2006-02-10,109,29,8,8,6,0.26605504587155965,0.07339449541284404,0.07339449541284404,0.05504587155963303,3.467889908256881,1.9724770642201834,28.38532110091743
2006-02-11,118,35,24,15,15,0.2966101694915254,0.2033898305084746,0.1271186440677966,0.1271186440677966,3.6864406779661016,2.152542372881356,28.016949152542374
2006-02-12,96,23,12,12,8,0.23958333333333334,0.125,0.125,0.08333333333333333,3.75,2.0208333333333335,26.177083333333332
2006-02-13,100,33,14,13,9,0.33,0.14,0.13,0.09,4.77,2.28,37.31
2006-02-14,99,34,18,18,8,0.3434343434343434,0.18181818181818182,0.18181818181818182,0.08080808080808081,4.141414141414141,2.282828282828283,41.878787878787875
2006-02-15,84,19,15,7,6,0.2261904761904762,0.17857142857142858,0.08333333333333333,0.07142857142857142,3.5,2.119047619047619,25.035714285714285
2006-02-16,77,27,12,7,9,0.35064935064935066,0.15584415584415584,0.09090909090909091,0.11688311688311688,3.857142857142857,2.2857142857142856,38.064935064935064
2006-02-17,90,30,16,8,7,0.3333333333333333,0.17777777777777778,0.08888888888888889,0.07777777777777778,3.8777777777777778,2.3666666666666667,34.477777777777774
2006-02-18,106,39,15,7,3,0.36792452830188677,0.14150943396226415,0.0660377358490566,0.02830188679245283,3.9056603773584904,2.0849056603773586,25.047169811320753
2006-02-19,129,47,20,15,5,0.3643410852713178,0.15503875968992248,0.11627906976744186,0.03875968992248062,5.255813953488372,2.4573643410852712,50.64341085271318
2006-02-20,87,28,12,8,5,0.3218390804597701,0.13793103448275862,0.09195402298850575,0.05747126436781609,3.7701149425287355,2.218390804597701,25.39080459770115
2006-02-21,83,30,19,6,7,0.3614457831325301,0.2289156626506024,0.07228915662650602,0.08433734939759036,5.0843373493975905,2.5180722891566263,44.325301204819276
2006-02-22,106,23,13,15,9,0.2169811320754717,0.12264150943396226,0.14150943396226415,0.08490566037735849,3.30188679245283,2.0283018867924527,25.933962264150942
2006-02-23,68,19,5,3,2,0.27941176470588236,0.07352941176470588,0.04411764705882353,0.029411764705882353,4.205882352941177,2.1029411764705883,32.411764705882355
2006-02-24,88,28,14,6,3,0.3181818181818182,0.1590909090909091,0.06818181818181818,0.03409090909090909,4.6022727272727275,2.215909090909091,32.69318181818182
2006-02-25,123,38,20,10,13,0.3089430894308943,0.16260162601626016,0.08130081300813008,0.10569105691056911,4.2926829268292686,2.1463414634146343,34.53658536585366
2006-02-26,118,29,14,11,12,0.2457627118644068,0.11864406779661017,0.09322033898305085,0.1016949152542373,4.059322033898305,2.093220338983051,37.8728813559322
